ROS2_Clock,Topic_Name,Data_Keys,Value_0,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7,Value_8
1776371408696053709,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.143710,-0.050275,9.300339,0.002111,-0.000405,-0.001468,-0.001883,0.161721,-0.004868
1776371408699553505,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.145936,-0.057396,9.307487,-0.001095,0.001213,0.000690,-0.001894,0.161731,-0.004870
1776371408702173368,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.143560,-0.057386,9.309867,-0.000029,0.002303,0.000146,-0.001931,0.161703,-0.004876
1776371408704533062,/encoders,"encoder_left,encoder_right",0,347
1776371408707154781,/motor_speed,speed_setting,11
1776371408708213568,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.141185,-0.054997,9.314631,0.001040,0.002317,0.000146,-0.001892,0.161737,-0.004870
1776371408709078845,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.141260,-0.055011,9.319411,-0.000029,0.001771,0.000679,-0.001929,0.161708,-0.004875
1776371408709599022,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.138884,-0.057381,9.324177,0.000506,0.001798,0.001753,-0.001889,0.161739,-0.004866
1776371408711150722,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.136509,-0.057371,9.321786,-0.001631,-0.000466,-0.001460,-0.001887,0.161733,-0.004867
1776371408715753658,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.134133,-0.057362,9.317008,-0.000025,-0.000413,0.000152,-0.001929,0.161709,-0.004873
1776371408720176173,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.136509,-0.054992,9.314628,0.001048,-0.002590,-0.000912,-0.001889,0.161734,-0.004868
1776371408722144654,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.143635,-0.050261,9.314644,0.001045,-0.000929,0.000692,-0.001931,0.161711,-0.004875
1776371408723318485,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.146011,-0.050271,9.312264,-0.000029,0.000102,-0.001463,-0.001903,0.161750,-0.004872
1776371408725509822,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.148386,-0.045521,9.309883,0.000509,-0.001520,-0.001454,-0.001933,0.161710,-0.004879
1776371408727493343,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.143610,-0.040738,9.309866,0.000513,-0.001449,0.002311,-0.001899,0.161744,-0.004871
