ROS2_Clock,Topic_Name,Data_Keys,Value_0,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7,Value_8
1763081381177679916,/encoders,"encoder_left,encoder_right",0,0,,,,,,,
1763081381279023469,/odom,"pos_x,pos_y,orient_z",0,0,0,,,,,,
1763081381281460688,/encoders,"encoder_left,encoder_right",1,0,,,,,,,
1763081381377643271,/odom,"pos_x,pos_y,orient_z",0,0,0,,,,,,
1763081381379733029,/encoders,"encoder_left,encoder_right",1,0,,,,,,,
1763081381476455524,/odom,"pos_x,pos_y,orient_z",0,0,0,,,,,,
1763081381477302512,/encoders,"encoder_left,encoder_right",1,0,,,,,,,
1763081381576425522,/odom,"pos_x,pos_y,orient_z",0,0,0,,,,,,
1763081381577218237,/encoders,"encoder_left,encoder_right",1,0,,,,,,,
1763081381676602722,/odom,"pos_x,pos_y,orient_z",0,0,0,,,,,,
1763081381677356845,/encoders,"encoder_left,encoder_right",0,0,,,,,,,
1763081381776422445,/odom,"pos_x,pos_y,orient_z",0,0,0,,,,,,
1763081381777214873,/encoders,"encoder_left,encoder_right",0,0,,,,,,,
1763081381876665215,/odom,"pos_x,pos_y,orient_z",0,0,0,,,,,,
1763081381877530731,/encoders,"encoder_left,encoder_right",0,0,,,,,,,
1763081381976451369,/odom,"pos_x,pos_y,orient_z",0,0,0,,,,,,
1763081381977206708,/encoders,"encoder_left,encoder_right",0,0,,,,,,,
1763081382076110836,/odom,"pos_x,pos_y,orient_z",0.0001,0,0.0001,,,,,,
1763081382076751293,/encoders,"encoder_left,encoder_right",10,0,,,,,,,
1763081382176446793,/odom,"pos_x,pos_y,orient_z",0.0001,0,0.0001,,,,,,
1763081382177190131,/encoders,"encoder_left,encoder_right",1,0,,,,,,,
1763081382277615562,/odom,"pos_x,pos_y,orient_z",0,0,0,,,,,,
1763081382278349236,/encoders,"encoder_left,encoder_right",0,0,,,,,,,
1763081382376449833,/odom,"pos_x,pos_y,orient_z",0,0,0,,,,,,
1763081382377393399,/encoders,"encoder_left,encoder_right",10,0,,,,,,,
1763081382476586459,/odom,"pos_x,pos_y,orient_z",-0.0001,0,0.0001,,,,,,
1763081382477555369,/encoders,"encoder_left,encoder_right",10,0,,,,,,,
1763081382576554603,/odom,"pos_x,pos_y,orient_z",-0.0001,0,0.0001,,,,,,
1763081382577308822,/encoders,"encoder_left,encoder_right",10,0,,,,,,,
1763081382676385177,/odom,"pos_x,pos_y,orient_z",0.0001,0,0.0001,,,,,,
1763081382677295846,/encoders,"encoder_left,encoder_right",10,0,,,,,,,
1763081382776485834,/odom,"pos_x,pos_y,orient_z",0.0001,0,0.0001,,,,,,
1763081382777252917,/encoders,"encoder_left,encoder_right",0,0,,,,,,,
1763081382876560539,/odom,"pos_x,pos_y,orient_z",-0.0001,0,0.0001,,,,,,
1763081382877335526,/encoders,"encoder_left,encoder_right",10,0,,,,,,,
